time,open,high,low,close,volume
2005-10-30,465.6,475.5,462.8,472.1,5660
2005-11-06,472.3,472.8,454.8,456.3,5627
2005-11-13,456.7,469.6,455.8,468.2,5124
2005-11-20,468.7,488.6,466.1,484.8,6769
2005-11-27,484.8,495.0,484.3,491.6,3411
2005-12-04,498.1,506.3,490.3,502.8,4955
2005-12-11,503.8,530.2,503.5,525.7,6351
2005-12-18,528.2,540.5,492.8,502.7,8978
2005-12-25,501.3,508.8,489.3,502.3,6808
2006-01-01,505.8,517.6,504.8,516.5,4149
2006-01-08,516.8,539.7,516.3,539.2,5768
2006-01-15,539.2,557.2,535.0,556.7,10203
2006-01-22,558.2,567.6,540.2,554.0,10381
2006-01-29,551.5,566.1,549.0,559.0,7733
2006-02-05,557.7,574.7,557.5,568.2,6728
2006-02-12,568.2,573.2,544.7,550.5,8378
2006-02-19,548.6,554.0,534.6,551.6,7318
2006-02-26,552.2,559.5,547.0,558.5,3723
2006-03-05,558.5,570.7,551.7,564.7,4181
2006-03-12,566.1,568.0,533.7,540.5,4463
2006-03-19,540.0,557.1,538.2,553.6,3759
2006-03-26,554.2,560.7,544.7,559.6,3366
2006-04-02,559.5,589.1,558.2,583.5,4981
2006-04-09,572.2,597.7,572.2,588.3,4663
2006-04-16,588.3,603.7,588.0,596.0,4018
2006-04-23,605.5,645.2,603.2,633.5,6432
2006-04-30,638.5,655.5,618.2,653.7,5611
2006-05-07,654.1,684.2,650.7,683.2,7043
2006-05-14,680.7,729.7,670.5,714.2,7600
2006-05-21,712.7,719.7,650.6,657.2,16307
2006-05-28,655.1,674.5,635.6,651.2,10315
2006-06-04,651.5,664.6,618.7,637.7,8165
2006-06-11,638.5,645.1,600.6,607.1,15115
2006-06-18,604.7,611.2,542.5,580.6,14154
2006-06-25,579.0,594.7,560.7,583.0,7805
2006-07-02,584.0,616.0,576.7,615.2,5604
2006-07-09,617.0,637.0,614.1,628.7,3372
2006-07-16,628.5,667.2,620.2,663.6,5542
2006-07-23,670.1,676.0,615.7,619.2,6529
2006-07-30,618.1,640.2,602.1,634.2,5131
2006-08-06,637.0,655.5,629.0,646.0,4754
2006-08-13,646.0,654.6,626.2,632.0,4736
